timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.005,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.008,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.013,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.016,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.021,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.025,2.53372e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.028,2.53372e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.033,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.036,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.041,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.044,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.048,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.053,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.058,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.061,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.066,0.000277665,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
0.069,0.000277665,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
