timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.003,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.008,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.012,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.016,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.02,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.026,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.029,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.034,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.036,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.039,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.044,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.049,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.053,0.000161785,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.056,0.000161785,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.061,0.000161785,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.064,0.00027774,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
0.068,0.00027774,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
0.072,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.077,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.08,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.086,0.000215366,0.0334033,7.2392,-0.392366,-0.942719,-2.87917,0.7608,8,2
0.088,0.000215366,0.0334033,7.2392,-0.392366,-0.942719,-2.87917,0.7608,8,2
